,Unnamed: 0,id_str,Screen Name,User Name,Time,Followers,num_retweets,num_likes,date,time,weekend,hashtags,num_hashtags,mentions,num_mentions,urls,num_urls,replied_id,quoted_id,tweet_text,category,quote_text,media_type,num_hashtags_trending,polarity,subjectivity,target,reply,quote,tweet_type,num_emojis,emoji_polarity,length,party_affiliation,days_since_post,time_day,day_week
16,16,1.20471857417202e+18,pvdabelgie,PVDA België,2019-12-11 11:04:25,10460,5,6,2019-12-11,morning,False,[],0,"[{'screen_name': 'RaoulHedebouw', 'name': 'Hedebouw Raoul', 'id': 42015742, 'id_str': '42015742', 'indices': [265, 279]}]",1,,0,1.20471818146359e+18,,"“De prioriteiten van mensen zijn duidelijk. Terwijl de establishmentpartijen onder elkaar palaveren over wie met wie mag en wanneer, willen wij vooruitgang op sociaal vlak. Dát is wat de Belgen op 26 mei gevraagd hebben. Zowel in Vlaanderen, Brussel als Wallonië.” @RaoulHedebouw",sociaal,,photo,0,0.2,0.375,medium,True,False,reply,0,0.0,279,pvdabelgie,22,11,2
17,17,1.20471818146359e+18,pvdabelgie,PVDA België,2019-12-11 11:02:51,10460,22,69,2019-12-11,morning,False,[],0,[],0,,1,,,"OFFICIEEL! De eerste 100.000 handtekeningen voor het minimumpensioen van 1.500 euro netto zijn vanochtend in de Kamer ingediend. Het wetsvoorstel voor de eerste burgerwet is ingediend. Maar het is nog niet voorbij: om te winnen, moeten we er nog talrijker zijn. Op naar de 250.000 https://t.co/uebLmgIhPD",pensioenen,,photo,0,-0.175,0.4166666666666671,good,False,False,normal,0,0.0,304,pvdabelgie,22,11,2
18,18,1.2044220714403e+18,pvdabelgie,PVDA België,2019-12-10 15:26:13,10460,4,4,2019-12-10,midday,False,[],0,[],0,,1,,,"Cipiers zenden een signaal: ""belofte maakt schuld"" https://t.co/VNKFxrWADg",sociaal,,nothing,0,0.0,0.0,bad,False,False,normal,0,0.0,74,pvdabelgie,23,15,1
19,19,1.20440118225033e+18,pvdabelgie,PVDA België,2019-12-10 14:03:13,10460,26,77,2019-12-10,midday,False,[],0,[],0,,1,,,"PVDA dient voorstel in om subsidies van de Kamer aan partijen met 9,2 miljoen euro te verminderen https://t.co/G03JvsNkx2",politiek,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,121,pvdabelgie,23,14,1
20,20,1.20406333602495e+18,pvdabelgie,PVDA België,2019-12-09 15:40:44,10460,9,18,2019-12-09,midday,False,[],0,[],0,,1,,,PVDA laakt Vlaamse klimaatambitie: “slecht voor de planeet én voor de portemonnee”  https://t.co/6Ko3iVmNmg,ecologie,,nothing,0,-0.7,0.9,medium,False,False,normal,0,0.0,107,pvdabelgie,24,15,0
21,21,1.20336569556583e+18,pvdabelgie,PVDA België,2019-12-07 17:28:33,10460,3,4,2019-12-07,midday,True,[],0,[],0,,1,,,"“Beoordelingscommissie heeft huiswerk klaar. PVDA eist 8,5 miljoen euro voor subsidies”  https://t.co/k1JO4BCrRB",zorg,,nothing,0,0.3666666666666671,0.6,bad,False,False,normal,0,0.0,112,pvdabelgie,26,17,5
22,22,1.20259388868026e+18,pvdabelgie,PVDA België,2019-12-05 14:21:40,10460,2,9,2019-12-05,midday,False,[],0,[],0,,1,,,AB InBev: PVDA eist einde aan misbruik gerechtelijke procedures in sociale conflicten  https://t.co/56qZ07FegE,sociaal,,nothing,0,0.116666666666667,0.166666666666667,medium,False,False,normal,0,0.0,110,pvdabelgie,28,14,3
23,23,1.20259380831733e+18,pvdabelgie,PVDA België,2019-12-05 14:21:21,10460,0,0,2019-12-05,midday,False,[],0,[],0,,1,,,AB InBev: PVDA eist einde aan misbruik gerechtelijke procedures in sociale conflicten https://t.co/56qZ07FegE,sociaal,,nothing,0,0.116666666666667,0.166666666666667,bad,False,False,normal,0,0.0,109,pvdabelgie,28,14,3
24,24,1.20190461862574e+18,pvdabelgie,PVDA België,2019-12-03 16:42:46,10460,4,5,2019-12-03,midday,False,[],0,[],0,,1,,,"PVDA roept dringend op tot maatregelen tegen energiearmoede 
https://t.co/Jd4Pg1tSug",ecologie,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,84,pvdabelgie,30,16,1
25,25,1.20189604967106e+18,pvdabelgie,PVDA België,2019-12-03 16:08:43,10460,6,15,2019-12-03,midday,False,[],0,"[{'screen_name': 'LiseVDC', 'name': 'Lise Vandecasteele', 'id': 2914422413, 'id_str': '2914422413', 'indices': [126, 134]}, {'screen_name': 'JosDHaese', 'name': ""Jos D'Haese"", 'id': 2188152894, 'id_str': '2188152894', 'indices': [138, 148]}, {'screen_name': 'RaoulHedebouw', 'name': 'Hedebouw Raoul', 'id': 42015742, 'id_str': '42015742', 'indices': [175, 189]}]",3,,2,,,Bijna 2000 mensen uit de sociale sector protesteerden vandaag tegen de besparingen van minister Beke. Vlaamse parlementsleden @LiseVDC en @JosDHaese en federaal parlementslid @RaoulHedebouw van PVDA stonden tussen de actievoerders. https://t.co/n8YtDxbeWD https://t.co/aCeYWtMsyW,sociaal,,photo,0,0.23333333333333303,0.33333333333333304,medium,False,False,normal,0,0.0,279,pvdabelgie,30,16,1
26,26,1.20187403260761e+18,pvdabelgie,PVDA België,2019-12-03 14:41:13,10460,3,13,2019-12-03,midday,False,"[{'text': 'PISA', 'indices': [0, 5]}]",1,"[{'screen_name': 'DeWitteKim', 'name': 'Kim De Witte', 'id': 2362950289, 'id_str': '2362950289', 'indices': [239, 250]}]",1,,1,,,"#PISA-onderzoek: kwaliteit van onderwijs in Vlaanderen daalt. “Investeringen in leerkrachten, in hun opleiding, in professionele ondersteuning, in goed en betaalbaar studiemateriaal kunnen verschil maken”, zegt PVDA-volksvertegenwoordiger @DeWitteKim. 
https://t.co/rgmOFzcawm",onderwijs,,nothing,1,0.4,0.625,medium,False,False,normal,0,0.0,276,pvdabelgie,30,14,1
27,27,1.20187258678908e+18,pvdabelgie,PVDA België,2019-12-03 14:35:29,10460,1,1,2019-12-03,midday,False,"[{'text': 'Buizingen', 'indices': [10, 20]}]",1,[],0,,1,,,"Treinramp #Buizingen: ""Dit vonnis, waarin NMBS en Infrabel zwaar veroordeeld worden, moet een waarschuwing zijn om eindelijk de veiligheid op het spoor als een prioriteit te beschouwen”, reageert federaal PVDA-volksvertegenwoordiger Maria Vindevoghel.
https://t.co/Zby4ds0VBh",andere,,nothing,0,-0.125,0.6,bad,False,False,normal,0,0.0,275,pvdabelgie,30,14,1
28,28,1.20154052496187e+18,pvdabelgie,PVDA België,2019-12-02 16:35:59,10460,3,5,2019-12-02,midday,False,"[{'text': 'stopfemicide', 'indices': [147, 160]}]",1,[],0,,2,,,Werd omzendbrief nultolerantie partnergeweld wel toegepast om marielle te beschermen? PVDA voerde vandaag actie voor het Justitiepaleis van Namen. #stopfemicide https://t.co/KGSkATqkrE https://t.co/vHB44nr8c9,ethisch,,photo,0,0.0,0.0,medium,False,False,normal,0,0.0,208,pvdabelgie,31,16,0
29,29,1.20148290378975e+18,pvdabelgie,PVDA België,2019-12-02 12:47:01,10460,2,5,2019-12-02,midday,False,[],0,[],0,,1,,,PVDA-actie voor Justitiepaleis Namen: werd omzendbrief nultolerantie bij partnergeweld wel toegepast om Marielle te beschermen? https://t.co/KGSkATqkrE,ethisch,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,151,pvdabelgie,31,12,0
30,30,1.20035550617242e+18,pvdabelgie,PVDA België,2019-11-29 10:07:08,10460,1,3,2019-11-29,morning,False,[],0,[],0,,1,,,Kamercommissie keurt aanpassing abortuswet goed  https://t.co/yyXkH45yPT,ethisch,,nothing,0,0.55,0.9,bad,False,False,normal,0,0.0,72,pvdabelgie,34,10,4
31,31,1.20034128124493e+18,pvdabelgie,PVDA België,2019-11-29 09:10:37,10460,14,27,2019-11-29,morning,False,[],0,"[{'screen_name': 'peter_mertens', 'name': 'Peter Mertens', 'id': 438317752, 'id_str': '438317752', 'indices': [14, 28]}]",1,,1,,,"Peter Mertens @peter_mertens  vraagt respect voor arbeid. Stop de loonmatiging - “Ik heb de minister van Werk een handschoen gegeven. Sabine heeft me die gegeven, deze ochtend, toen ik haar ontmoette op de actie van de huishoudhulpen.” https://t.co/e4dogSLNz9",sociaal,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,259,pvdabelgie,34,9,4
32,32,1.19971728686682e+18,pvdabelgie,PVDA België,2019-11-27 15:51:05,10460,7,15,2019-11-27,midday,False,"[{'text': 'pensioen', 'indices': [209, 218]}, {'text': '1500netto', 'indices': [219, 229]}]",2,"[{'screen_name': 'RaoulHedebouw', 'name': 'Hedebouw Raoul', 'id': 42015742, 'id_str': '42015742', 'indices': [106, 120]}]",1,,1,,,"De aankondigingen van Magnette over het minimumpensioen van 1500 euro toont dat de druk vruchten afwerpt. @RaoulHedebouw : ""Deze aankondigingen zijn in feite de beste uitnodiging om de strijd voort te zetten"" #pensioen #1500netto https://t.co/PU4iwrCgao",pensioenen,,nothing,0,0.22083333333333302,0.870833333333333,medium,False,False,normal,0,0.0,253,pvdabelgie,36,15,2
33,33,1.19861387290474e+18,pvdabelgie,PVDA België,2019-11-24 14:46:31,10460,7,26,2019-11-24,midday,True,"[{'text': 'nietéénmeer', 'indices': [226, 238]}, {'text': 'stopgeweldtegenvrouwen', 'indices': [240, 263]}, {'text': 'stopfemicide', 'indices': [264, 277]}]",3,[],0,,1,,,"Vandaag komen we op straat om duidelijk te maken dat het geweld op vrouwen moét stoppen. Dit jaar werden in ons land al 21 vrouwen vermoord. Met de PVDA maken we van de strijd tegen geweld op vrouwen een politieke prioriteit. #nietéénmeer 
#stopgeweldtegenvrouwen #stopfemicide https://t.co/HbRw9ZpV4a",ethisch,,photo,0,0.225,0.5,good,False,False,normal,0,0.0,301,pvdabelgie,39,14,6
34,34,1.19752704296057e+18,pvdabelgie,PVDA België,2019-11-21 14:47:50,10460,4,5,2019-11-21,midday,False,[],0,[],0,,1,,,"Geweld tegen vrouwen, een kwestie van nationale veiligheid  https://t.co/2WOFBYO7YC",ethisch,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,83,pvdabelgie,42,14,3
35,35,1.19752634581698e+18,pvdabelgie,PVDA België,2019-11-21 14:45:04,10460,2,2,2019-11-21,midday,False,[],0,[],0,,1,,,N-VA-bestuur Edegem hakt in op gemeentepersoneel en dienstverlening - PVDA https://t.co/cfa8dnHUNj,ecologie,,nothing,0,0.0,0.0,bad,False,False,normal,0,0.0,98,pvdabelgie,42,14,3
36,36,1.19681599215388e+18,pvdabelgie,PVDA België,2019-11-19 15:42:22,10460,1,6,2019-11-19,midday,False,"[{'text': 'wittewoede', 'indices': [116, 127]}]",1,[],0,,2,,,"PVDA verheugt zich over akkoord zorgfonds: 59 miljoen vrijgemaakt voor loontrekkenden, 8 miljoen voor zelfstandigen #wittewoede https://t.co/7flsXYRZZW https://t.co/4kqSZJimdd",sociaal,,photo,0,0.0,0.0,medium,False,False,normal,0,0.0,175,pvdabelgie,44,15,1
37,37,1.19679615815848e+18,pvdabelgie,PVDA België,2019-11-19 14:23:34,10460,11,24,2019-11-19,midday,False,[],0,"[{'screen_name': 'HLN_BE', 'name': 'HLN.BE', 'id': 47576958, 'id_str': '47576958', 'indices': [158, 165]}]",1,,2,,,"Week van de afvalophaler: Steven De Vuyst (PVDA) recht van afvalronde naar federaal parlement: 
“Mijn respect voor afvalophalers is alleen maar gegroeid” via @HLN_BE https://t.co/a5xQILPNjc https://t.co/cadnEvuouj",sociaal,,photo,0,-0.24166666666666697,0.616666666666667,good,False,False,normal,0,0.0,213,pvdabelgie,44,14,1
38,38,1.19641058957844e+18,pvdabelgie,PVDA België,2019-11-18 12:51:27,10460,14,21,2019-11-18,midday,False,"[{'text': 'bigpharma', 'indices': [30, 40]}]",1,"[{'screen_name': 'Sofie_Merckx', 'name': 'Sofie Merckx', 'id': 476895973, 'id_str': '476895973', 'indices': [173, 186]}]",1,,1,,,"Recordniveau staatssteun voor #bigpharma. “Tijd dat de gemeenschap niet alleen de lasten draagt, maar ook de lusten geniet” reageert PVDA-Kamerlid en gezondheidsspecialiste @Sofie_Merckx https://t.co/am11kOvJIa",zorg,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,210,pvdabelgie,45,12,0
39,39,1.19205314741973e+18,pvdabelgie,PVDA België,2019-11-06 12:16:32,10460,1,4,2019-11-06,midday,False,[],0,[],0,,1,,,Wat is “het Deense model” en waarom is het een inspiratiebron voor de N-VA?  https://t.co/gmU6aTRn0I,integratie,,nothing,0,0.0,0.0,bad,False,False,normal,0,0.0,100,pvdabelgie,57,12,2
40,40,1.19205307930847e+18,pvdabelgie,PVDA België,2019-11-06 12:16:16,10460,1,10,2019-11-06,midday,False,[],0,[],0,,1,,,Johan de Backer wordt communicatiedirecteur bij PVDA https://t.co/YAtrNmKd2E,andere,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,76,pvdabelgie,57,12,2
41,41,1.19135971509743e+18,pvdabelgie,PVDA België,2019-11-04 14:21:05,10460,9,15,2019-11-04,midday,False,"[{'text': 'PVDA', 'indices': [37, 42]}]",1,[],0,,1,,,Draaideuren bij kabinetsmedewerkers: #PVDA eist doorlichting en afkoelingsperiode  https://t.co/ZTVSGDXOhz,politiek,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,106,pvdabelgie,59,14,0
42,42,1.18990991745036e+18,pvdabelgie,PVDA België,2019-10-31 14:20:06,10460,12,31,2019-10-31,midday,False,"[{'text': 'wittewoede', 'indices': [66, 77]}]",1,[],0,,1,,,Begroting met PVDA-amendement goedgekeurd https://t.co/4iOUHbHtnB #wittewoede,economie,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,77,pvdabelgie,63,14,3
43,43,1.18988314885277e+18,pvdabelgie,PVDA België,2019-10-31 12:33:44,10460,23,48,2019-10-31,midday,False,"[{'text': 'PVDA', 'indices': [126, 131]}]",1,"[{'screen_name': 'peter_mertens', 'name': 'Peter Mertens', 'id': 438317752, 'id_str': '438317752', 'indices': [132, 146]}]",1,,1,,,"“Mensen die met mensen werken, maken een samenleving groot. Zij verdienen ons respect. Zij verdienen die 67 miljoen euro nu!” #PVDA @peter_mertens https://t.co/5baKea8SOQ",zorg,,video,0,0.4583333333333329,0.7,good,False,False,normal,0,0.0,170,pvdabelgie,63,12,3
44,44,1.18987960224995e+18,pvdabelgie,PVDA België,2019-10-31 12:19:38,10460,14,33,2019-10-31,midday,False,[],0,"[{'screen_name': 'peter_mertens', 'name': 'Peter Mertens', 'id': 438317752, 'id_str': '438317752', 'indices': [103, 117]}]",1,,1,,,“Verpleegkundigen dromen er niet van om op straat te komen. Ze dromen ervan om goeie zorg te verlenen” @peter_mertens https://t.co/7AEGMXuw2a,zorg,,photo,0,0.6,0.8,good,False,False,normal,0,0.0,141,pvdabelgie,63,12,3
45,45,1.18987495987266e+18,pvdabelgie,PVDA België,2019-10-31 12:01:11,10460,12,27,2019-10-31,midday,False,"[{'text': 'PVDA', 'indices': [11, 16]}, {'text': 'wittewoede', 'indices': [121, 132]}]",2,[],0,,1,,,Live vanop #PVDA-actie bij het parlement. Regering moet beslissing respecteren. Noodfonds van 67 miljoen voor zorgsector #wittewoede https://t.co/0hCZH6nean,zorg,,photo,0,0.0,0.0,good,False,False,normal,0,0.0,156,pvdabelgie,63,12,3
46,46,1.18978418940467e+18,pvdabelgie,PVDA België,2019-10-31 06:00:30,10460,6,12,2019-10-31,morning,False,"[{'text': 'PVDA', 'indices': [181, 186]}]",1,[],0,,2,,,"Het uur van de waarheid nadert. Zal het besluit om 67 miljoen euro te investeren in een noodfonds voor de zorg, gerespecteerd worden? We krijgen vandaag antwoord in het parlement. 
#PVDA-actie: 13u aan het Congresplein in Brussel. https://t.co/fckNuaCUpX https://t.co/Q66021Wj4n",zorg,,photo,0,0.5,0.9,medium,False,False,normal,0,0.0,278,pvdabelgie,63,6,3
47,47,1.18738885604536e+18,pvdabelgie,PVDA België,2019-10-24 15:22:18,10460,7,9,2019-10-24,midday,False,"[{'text': 'wittewoede', 'indices': [10, 21]}]",1,[],0,,1,,,Eisen van #wittewoede zijn essentieel voor kwaliteit van zorgverlening  https://t.co/GOjl3A4GOy,zorg,,nothing,0,0.1,0.4,medium,False,False,normal,0,0.0,95,pvdabelgie,70,15,3
48,48,1.20804049726203e+18,peter_mertens,Peter Mertens,2019-12-20 15:04:33,15537,28,84,2019-12-20,midday,False,"[{'text': 'Novartis', 'indices': [10, 19]}, {'text': 'babyPia', 'indices': [56, 64]}, {'text': 'Zolgensma', 'indices': [258, 268]}]",3,[],0,,1,,,"Farmareus #Novartis maakt van het leven van kindjes als #babyPia een loterij. 100 kindjes krijgen behandeling. De rest moet wél 1,9 miljoen ophoesten voor het medicijn.
⛔ Haal de gezondheid van kinderen uit de handen van kapitalistische graaimultinationals.
#Zolgensma https://t.co/dyqPlb5OuP",zorg,,photo,0,0.0,0.0,good,False,False,normal,1,-0.296,292,pvdabelgie,13,15,4
49,49,1.20766343102697e+18,peter_mertens,Peter Mertens,2019-12-19 14:06:13,15537,17,45,2019-12-19,midday,False,[],0,"[{'screen_name': 'Marco_VanHees', 'name': 'Marco Van Hees', 'id': 141958841, 'id_str': '141958841', 'indices': [240, 254]}]",1,,2,,,"""Mijnheer De Croo, u beloofde dat hervorming van vennootschapsbelasting 'budgettair neutraal zou zijn. Wel volgens Nationale Bank hebben we vorig jaar  €0,5 miljard verloren. Niets: 'neutraal'. Wel: een groot cadeau voor het grootbedrijf."" @Marco_VanHees https://t.co/O17XzUiR6M https://t.co/JsSd9al2NT",economie,,photo,0,0.027777777777778,0.208333333333333,good,False,False,normal,0,0.0,302,pvdabelgie,14,14,3
50,50,1.20702370274917e+18,peter_mertens,Peter Mertens,2019-12-17 19:44:10,15537,260,912,2019-12-17,evening,False,"[{'text': 'gemrA', 'indices': [129, 135]}]",1,[],0,,0,,,"""Ga terug naar Marokko en leer Nederlands"" schreeuwt Sam Van Rooy (VB) naar Hicham El Mzairh (sp.a) op de Antwerpse gemeenteraad #gemrA. Het racisme  van het Vlaams Belang wordt steeds harder, agressiever, en openlijker. Onwaarschijnlijk dat dit allemaal zo maar kan.",integratie,,nothing,0,-0.4,0.9,good,False,False,normal,0,0.0,267,pvdabelgie,16,19,1
